eFG_pct,Team_eFG_pct,2019_eFG_pct,Last_3_eFG_pct,Last_1_eFG_pct,Home_eFG_pct,Away_eFG_pct,2018_eFG_pct,2019_Turnover_rate,Last_3_Turnover_rate,Last_1_Turnover_rate,Home_Turnover_rate,Away_Turnover_rate,2018_Turnover_rate,2019_Offensive_Rebound_Rate,Last_3_Offensive_Rebound_Rate,Last_1_Offensive_Rebound_Rate,Home_Offensive_Rebound_Rate,Away_Offensive_Rebound_Rate,2018_Offensive_Rebound_Rate,2019_Free_Throw_Pct,Last_3_Free_Throw_Pct,Last_1_Free_Throw_Pct,Home_Free_Throw_Pct,Away_Free_Throw_Pct,2018_Free_Throw_Pct,,,
53,Delaware, 0.53 , 0.52 , 0.42 , 0.55 , 0.53 , 0.53 , 0.16 , 0.15 , 0.12 , 0.14 , 0.17 , 0.17 , 0.21 , 0.20 , 0.22 , 0.19 , 0.22 , 0.22 , 0.76 , 0.88 , 0.86 , 0.86 , 0.69 , 0.73 ,,,
275,Delaware St, 0.46 , 0.44 , 0.49 , 0.44 , 0.47 , 0.40 , 0.19 , 0.17 , 0.19 , 0.15 , 0.23 , 0.19 , 0.19 , 0.18 , 0.26 , 0.16 , 0.20 , 0.25 , 0.71 , 0.78 , 0.79 , 0.73 , 0.69 , 0.68 ,,,
264,Denver, 0.46 , 0.46 , 0.63 , 0.57 , 0.43 , 0.50 , 0.21 , 0.27 , 0.36 , 0.24 , 0.20 , 0.19 , 0.18 , 0.24 , 0.10 , 0.14 , 0.19 , 0.25 , 0.65 , 0.72 , 0.72 , 0.68 , 0.64 , 0.76 ,,,
63,DePaul, 0.53 , 0.49 , 0.44 , 0.52 , 0.55 , 0.53 , 0.17 , 0.17 , 0.17 , 0.19 , 0.13 , 0.18 , 0.34 , 0.36 , 0.29 , 0.32 , 0.37 , 0.30 , 0.62 , 0.63 , 0.56 , 0.58 , 0.67 , 0.73 ,,,
331,Detroit, 0.42 , 0.41 , 0.32 , 0.32 , 0.44 , 0.50 , 0.20 , 0.22 , 0.25 , 0.25 , 0.20 , 0.16 , 0.23 , 0.26 , 0.28 , 0.28 , 0.23 , 0.28 , 0.80 , 0.83 , 0.94 , 0.94 , 0.78 , 0.72 ,,,
111,Drake, 0.51 , 0.48 , 0.53 , 0.59 , 0.42 , 0.53 , 0.21 , 0.18 , 0.14 , 0.20 , 0.21 , 0.19 , 0.26 , 0.24 , 0.12 , 0.23 , 0.28 , 0.21 , 0.69 , 0.66 , 0.71 , 0.72 , 0.65 , 0.76 ,,,
106,Drexel, 0.52 , 0.52 , 0.37 , 0.56 , 0.46 , 0.51 , 0.24 , 0.23 , 0.21 , 0.22 , 0.27 , 0.16 , 0.28 , 0.29 , 0.34 , 0.29 , 0.26 , 0.26 , 0.71 , 0.69 , 0.75 , 0.71 , 0.70 , 0.75 ,,,
79,Duke, 0.52 , 0.58 , 0.53 , 0.54 , 0.50 , 0.54 , 0.19 , 0.17 , 0.11 , 0.19 , 0.18 , 0.17 , 0.35 , 0.25 , 0.25 , 0.36 , 0.35 , 0.35 , 0.69 , 0.78 , 1.00 , 0.65 , 0.73 , 0.69 ,,,
92,Duquesne, 0.52 , 0.55 , 0.51 , 0.50 , 0.54 , 0.50 , 0.17 , 0.17 , 0.20 , 0.19 , 0.16 , 0.19 , 0.30 , 0.30 , 0.36 , 0.32 , 0.26 , 0.30 , 0.78 , 0.74 , 0.87 , 0.82 , 0.73 , 0.69 ,,,
283,E Carolina, 0.46 , 0.45 , 0.42 , 0.47 , 0.45 , 0.46 , 0.17 , 0.12 , 0.13 , 0.15 , 0.17 , 0.19 , 0.31 , 0.31 , 0.33 , 0.32 , 0.30 , 0.26 , 0.73 , 0.73 , 0.61 , 0.58 , 0.80 , 0.68 ,,,
168,E Illinois, 0.49 , 0.53 , 0.68 , 0.61 , 0.45 , 0.50 , 0.19 , 0.20 , 0.27 , 0.20 , 0.18 , 0.19 , 0.30 , 0.39 , 0.50 , 0.39 , 0.26 , 0.28 , 0.70 , 0.73 , 0.74 , 0.78 , 0.65 , 0.69 ,,,
344,E Kentucky, 0.41 , 0.36 , 0.39 , 0.54 , 0.34 , 0.48 , 0.25 , 0.23 , 0.21 , 0.26 , 0.24 , 0.18 , 0.20 , 0.22 , 0.13 , 0.23 , 0.18 , 0.26 , 0.75 , 0.74 , 0.76 , 0.74 , 0.75 , 0.71 ,,,
152,E Michigan, 0.50 , 0.51 , 0.54 , 0.72 , 0.46 , 0.49 , 0.25 , 0.23 , 0.29 , 0.25 , 0.25 , 0.20 , 0.19 , 0.15 , 0.12 , 0.20 , 0.18 , 0.33 , 0.67 , 0.63 , 0.58 , 0.73 , 0.66 , 0.62 ,,,
19,E Tenn St, 0.56 , 0.58 , 0.53 , 0.54 , 0.58 , 0.55 , 0.20 , 0.21 , 0.22 , 0.18 , 0.22 , 0.20 , 0.34 , 0.35 , 0.27 , 0.32 , 0.36 , 0.36 , 0.69 , 0.78 , 0.82 , 0.68 , 0.69 , 0.66 ,,,
161,E Washingtn, 0.50 , 0.56 , 0.51 , 0.59 , 0.48 , 0.50 , 0.20 , 0.19 , 0.21 , 0.16 , 0.20 , 0.17 , 0.24 , 0.26 , 0.32 , 0.12 , 0.26 , 0.22 , 0.68 , 0.68 , 0.55 , 0.77 , 0.66 , 0.73 ,,,
318,Elon, 0.43 , 0.55 , 0.55 , 0.50 , 0.38 , 0.52 , 0.19 , 0.18 , 0.22 , 0.21 , 0.16 , 0.18 , 0.16 , 0.14 , 0.18 , 0.16 , 0.16 , 0.20 , 0.75 , 0.68 , 0.64 , 0.74 , 0.76 , 0.69 ,,,
48,Evansville, 0.54 , 0.60 , 0.76 , 0.59 , 0.50 , 0.49 , 0.18 , 0.17 , 0.19 , 0.20 , 0.16 , 0.18 , 0.17 , 0.25 , 0.36 , 0.17 , 0.18 , 0.17 , 0.76 , 0.73 , 0.70 , 0.77 , 0.76 , 0.72 ,,,
258,F Dickinson, 0.47 , 0.44 , 0.36 , 0.55 , 0.45 , 0.54 , 0.19 , 0.15 , 0.19 , 0.15 , 0.20 , 0.19 , 0.25 , 0.24 , 0.26 , 0.17 , 0.26 , 0.27 , 0.71 , 0.73 , 0.83 , 0.73 , 0.70 , 0.74 ,,,
227,Fairfield, 0.48 , 0.47 , 0.58 , 0.45 , 0.49 , 0.51 , 0.20 , 0.19 , 0.25 , 0.18 , 0.21 , 0.20 , 0.24 , 0.26 , 0.36 , 0.24 , 0.24 , 0.24 , 0.71 , 0.59 , 0.79 , 0.72 , 0.71 , 0.69 ,,,
277,Fla Atlantic, 0.46 , 0.46 , 0.43 , 0.49 , 0.42 , 0.48 , 0.21 , 0.21 , 0.23 , 0.20 , 0.21 , 0.20 , 0.31 , 0.28 , 0.31 , 0.31 , 0.31 , 0.28 , 0.64 , 0.68 , 0.71 , 0.69 , 0.56 , 0.76 ,,,
332,Fla Gulf Cst, 0.42 , 0.40 , 0.46 , 0.41 , 0.43 , 0.53 , 0.25 , 0.25 , 0.18 , 0.22 , 0.28 , 0.21 , 0.27 , 0.29 , 0.24 , 0.27 , 0.26 , 0.24 , 0.73 , 0.71 , 0.78 , 0.72 , 0.74 , 0.68 ,,,
183,Florida, 0.49 , 0.53 , 0.50 , 0.44 , 0.54 , 0.50 , 0.18 , 0.19 , 0.15 , 0.17 , 0.19 , 0.17 , 0.27 , 0.20 , 0.14 , 0.30 , 0.24 , 0.29 , 0.70 , 0.70 , 0.67 , 0.72 , 0.68 , 0.72 ,,,
349,Florida A&M, 0.39 , 0.38 , 0.38 , -- , 0.39 , 0.49 , 0.23 , 0.27 , 0.29 , -- , 0.23 , 0.24 , 0.22 , 0.23 , 0.17 , -- , 0.22 , 0.26 , 0.60 , 0.62 , 0.56 , -- , 0.60 , 0.60 ,,,
52,Florida Intl, 0.54 , 0.48 , 0.51 , 0.47 , 0.56 , 0.49 , 0.21 , 0.19 , 0.20 , 0.19 , 0.22 , 0.17 , 0.29 , 0.28 , 0.34 , 0.25 , 0.31 , 0.24 , 0.66 , 0.62 , 0.61 , 0.63 , 0.66 , 0.65 ,,,
116,Florida St, 0.51 , 0.43 , 0.54 , 0.60 , 0.43 , 0.51 , 0.19 , 0.18 , 0.20 , 0.20 , 0.18 , 0.19 , 0.32 , 0.23 , 0.23 , 0.42 , 0.25 , 0.32 , 0.75 , 0.63 , 0.44 , 0.82 , 0.69 , 0.74 ,,,
278,Fordham, 0.46 , 0.45 , 0.36 , 0.43 , 0.49 , 0.47 , 0.19 , 0.18 , 0.17 , 0.20 , 0.17 , 0.16 , 0.28 , 0.23 , 0.24 , 0.32 , 0.22 , 0.23 , 0.59 , 0.62 , 0.53 , 0.57 , 0.66 , 0.69 ,,,
198,Fresno St, 0.48 , 0.49 , 0.42 , 0.54 , 0.46 , 0.55 , 0.18 , 0.12 , 0.13 , 0.17 , 0.18 , 0.18 , 0.25 , 0.21 , 0.18 , 0.26 , 0.24 , 0.26 , 0.71 , 0.73 , 0.87 , 0.75 , 0.69 , 0.72 ,,,
50,Furman, 0.54 , 0.49 , 0.57 , 0.63 , 0.53 , 0.55 , 0.16 , 0.20 , 0.19 , 0.13 , 0.17 , 0.18 , 0.23 , 0.16 , 0.13 , 0.18 , 0.23 , 0.27 , 0.75 , 0.68 , 0.69 , 0.71 , 0.77 , 0.72 ,,,
142,GA Southern, 0.50 , 0.42 , 0.48 , 0.61 , 0.46 , 0.54 , 0.17 , 0.17 , 0.19 , 0.14 , 0.18 , 0.18 , 0.23 , 0.32 , 0.32 , 0.18 , 0.25 , 0.26 , 0.72 , 0.74 , 0.70 , 0.68 , 0.73 , 0.70 ,,,
182,GA Tech, 0.49 , 0.48 , 0.44 , 0.47 , 0.55 , 0.49 , 0.22 , 0.21 , 0.24 , 0.23 , 0.21 , 0.20 , 0.25 , 0.30 , 0.27 , 0.26 , 0.23 , 0.23 , 0.59 , 0.49 , 0.39 , 0.57 , 0.62 , 0.69 ,,,
166,Gard-Webb, 0.49 , 0.56 , 0.49 , 0.47 , 0.50 , 0.55 , 0.19 , 0.15 , 0.10 , 0.24 , 0.18 , 0.17 , 0.22 , 0.25 , 0.24 , 0.32 , 0.21 , 0.20 , 0.69 , 0.65 , 0.70 , 0.64 , 0.70 , 0.72 ,,,
193,Geo Mason, 0.49 , 0.49 , 0.45 , 0.48 , 0.51 , 0.50 , 0.18 , 0.17 , 0.12 , 0.16 , 0.22 , 0.18 , 0.32 , 0.26 , 0.16 , 0.33 , 0.32 , 0.26 , 0.71 , 0.75 , 0.76 , 0.70 , 0.72 , 0.72 ,,,
209,Geo Wshgtn, 0.48 , 0.44 , 0.50 , 0.47 , 0.49 , 0.46 , 0.18 , 0.16 , 0.20 , 0.19 , 0.18 , 0.18 , 0.24 , 0.28 , 0.33 , 0.28 , 0.19 , 0.22 , 0.76 , 0.80 , 0.83 , 0.75 , 0.76 , 0.69 ,,,
94,Georgetown, 0.52 , 0.54 , 0.67 , 0.47 , 0.58 , 0.51 , 0.22 , 0.22 , 0.18 , 0.22 , 0.22 , 0.18 , 0.35 , 0.35 , 0.32 , 0.36 , 0.33 , 0.27 , 0.77 , 0.84 , 0.90 , 0.77 , 0.79 , 0.74 ,,,
41,Georgia, 0.54 , 0.55 , 0.59 , 0.55 , 0.52 , 0.50 , 0.18 , 0.23 , 0.22 , 0.16 , 0.24 , 0.22 , 0.34 , 0.39 , 0.67 , 0.37 , 0.25 , 0.30 , 0.68 , 0.73 , 0.75 , 0.67 , 0.72 , 0.71 ,,,
125,Georgia St, 0.51 , 0.56 , 0.55 , 0.56 , 0.49 , 0.54 , 0.19 , 0.18 , 0.17 , 0.18 , 0.19 , 0.16 , 0.28 , 0.23 , 0.14 , 0.27 , 0.28 , 0.22 , 0.70 , 0.68 , 0.71 , 0.65 , 0.71 , 0.66 ,,,
14,Gonzaga, 0.57 , 0.51 , 0.59 , 0.59 , 0.53 , 0.59 , 0.16 , 0.17 , 0.14 , 0.13 , 0.20 , 0.15 , 0.35 , 0.34 , 0.40 , 0.34 , 0.35 , 0.30 , 0.65 , 0.63 , 0.56 , 0.65 , 0.66 , 0.76 ,,,
221,Grambling St, 0.48 , 0.50 , 0.44 , -- , 0.48 , 0.50 , 0.21 , 0.24 , 0.19 , -- , 0.21 , 0.22 , 0.23 , 0.19 , 0.18 , -- , 0.23 , 0.24 , 0.68 , 0.74 , 0.74 , -- , 0.68 , 0.69 ,,,
178,Grd Canyon, 0.49 , 0.49 , 0.53 , 0.49 , 0.49 , 0.51 , 0.18 , 0.18 , 0.15 , 0.15 , 0.22 , 0.17 , 0.22 , 0.25 , 0.19 , 0.22 , 0.22 , 0.27 , 0.75 , 0.75 , 0.75 , 0.72 , 0.79 , 0.73 ,,,
225,Hampton, 0.48 , 0.53 , 0.52 , 0.53 , 0.44 , 0.49 , 0.18 , 0.20 , 0.27 , 0.20 , 0.16 , 0.14 , 0.25 , 0.30 , 0.32 , 0.30 , 0.22 , 0.25 , 0.66 , 0.62 , 0.70 , 0.62 , 0.69 , 0.80 ,,,
165,Hartford, 0.49 , 0.50 , 0.59 , 0.50 , 0.49 , 0.54 , 0.22 , 0.23 , 0.23 , 0.23 , 0.22 , 0.17 , 0.15 , 0.14 , 0.07 , 0.17 , 0.14 , 0.23 , 0.70 , 0.77 , 0.90 , 0.73 , 0.66 , 0.74 ,,,
130,Harvard, 0.51 , 0.54 , 0.66 , 0.57 , 0.48 , 0.53 , 0.20 , 0.21 , 0.27 , 0.25 , 0.18 , 0.22 , 0.30 , 0.27 , 0.55 , 0.33 , 0.29 , 0.28 , 0.74 , 0.69 , 0.85 , 0.73 , 0.75 , 0.72 ,,,
70,Hawaii, 0.53 , 0.57 , 0.49 , 0.56 , 0.44 , 0.52 , 0.19 , 0.22 , 0.19 , 0.20 , 0.16 , 0.17 , 0.24 , 0.26 , 0.23 , 0.27 , 0.16 , 0.25 , 0.77 , 0.79 , 0.67 , 0.78 , 0.67 , 0.70 ,,,
348,High Point, 0.39 , 0.43 , 0.44 , 0.37 , 0.41 , 0.49 , 0.23 , 0.20 , 0.16 , 0.17 , 0.26 , 0.20 , 0.29 , 0.39 , 0.34 , 0.36 , 0.24 , 0.33 , 0.74 , 0.77 , 0.73 , 0.76 , 0.71 , 0.69 ,,,
214,Hofstra, 0.48 , 0.41 , 0.30 , 0.54 , 0.46 , 0.56 , 0.17 , 0.22 , 0.21 , 0.13 , 0.18 , 0.14 , 0.26 , 0.33 , 0.32 , 0.18 , 0.28 , 0.26 , 0.78 , 0.79 , 0.50 , 0.76 , 0.78 , 0.81 ,,,
137,Holy Cross, 0.50 , 0.52 , 0.41 , 0.45 , 0.53 , 0.53 , 0.21 , 0.24 , 0.27 , 0.20 , 0.21 , 0.16 , 0.24 , 0.28 , 0.31 , 0.26 , 0.22 , 0.19 , 0.64 , 0.56 , 0.31 , 0.64 , 0.64 , 0.67 ,,,
76,Houston, 0.52 , 0.49 , 0.41 , 0.53 , 0.51 , 0.52 , 0.15 , 0.13 , 0.17 , 0.15 , 0.15 , 0.16 , 0.41 , 0.44 , 0.39 , 0.41 , 0.42 , 0.33 , 0.73 , 0.79 , 0.78 , 0.74 , 0.70 , 0.70 ,,,
260,Houston Bap, 0.46 , 0.50 , 0.60 , 0.60 , 0.44 , 0.50 , 0.20 , 0.19 , 0.15 , 0.15 , 0.20 , 0.19 , 0.26 , 0.27 , 0.29 , 0.29 , 0.26 , 0.31 , 0.67 , 0.63 , 0.50 , 0.50 , 0.69 , 0.67 ,,,
263,Howard, 0.46 , 0.51 , 0.52 , 0.48 , 0.46 , 0.49 , 0.19 , 0.19 , 0.14 , 0.23 , 0.18 , 0.17 , 0.20 , 0.13 , 0.15 , 0.10 , 0.22 , 0.28 , 0.66 , 0.73 , 0.83 , 0.54 , 0.67 , 0.73 ,,,
281,Idaho, 0.46 , 0.43 , 0.45 , 0.43 , 0.47 , 0.50 , 0.20 , 0.22 , 0.22 , 0.21 , 0.19 , 0.20 , 0.21 , 0.16 , 0.13 , 0.14 , 0.24 , 0.22 , 0.67 , 0.65 , 0.53 , 0.66 , 0.67 , 0.73 ,,,
223,Idaho State, 0.48 , 0.47 , 0.47 , -- , 0.48 , 0.52 , 0.25 , 0.28 , 0.25 , -- , 0.25 , 0.17 , 0.27 , 0.29 , 0.19 , -- , 0.27 , 0.24 , 0.65 , 0.67 , 0.63 , -- , 0.65 , 0.73 ,,,
204,IL-Chicago, 0.48 , 0.56 , 0.60 , 0.49 , 0.47 , 0.53 , 0.23 , 0.22 , 0.29 , 0.23 , 0.23 , 0.20 , 0.21 , 0.20 , 0.29 , 0.22 , 0.20 , 0.23 , 0.66 , 0.76 , 0.60 , 0.62 , 0.71 , 0.69 ,,,
72,Illinois, 0.53 , 0.58 , 0.42 , 0.55 , 0.47 , 0.50 , 0.21 , 0.16 , 0.19 , 0.20 , 0.23 , 0.18 , 0.41 , 0.35 , 0.24 , 0.47 , 0.32 , 0.27 , 0.71 , 0.76 , 0.69 , 0.72 , 0.70 , 0.70 ,,,
96,Illinois St, 0.52 , 0.49 , 0.41 , 0.52 , 0.52 , 0.49 , 0.19 , 0.18 , 0.13 , 0.18 , 0.20 , 0.18 , 0.28 , 0.19 , 0.19 , 0.26 , 0.31 , 0.24 , 0.62 , 0.61 , 0.61 , 0.63 , 0.60 , 0.72 ,,,
338,Incar Word, 0.42 , 0.46 , 0.43 , 0.45 , 0.39 , 0.52 , 0.22 , 0.22 , 0.12 , 0.27 , 0.19 , 0.24 , 0.23 , 0.25 , 0.11 , 0.26 , 0.21 , 0.20 , 0.66 , 0.67 , 0.63 , 0.70 , 0.64 , 0.81 ,,,
24,Indiana, 0.56 , 0.52 , 0.47 , 0.57 , 0.47 , 0.51 , 0.19 , 0.24 , 0.19 , 0.19 , 0.19 , 0.17 , 0.37 , 0.38 , 0.33 , 0.38 , 0.33 , 0.26 , 0.70 , 0.60 , 0.65 , 0.71 , 0.65 , 0.66 ,,,
43,Indiana St, 0.54 , 0.58 , 0.55 , 0.50 , 0.55 , 0.49 , 0.17 , 0.18 , 0.25 , 0.07 , 0.19 , 0.18 , 0.21 , 0.23 , 0.35 , 0.15 , 0.22 , 0.21 , 0.74 , 0.78 , 0.88 , 0.75 , 0.73 , 0.73 ,,,
287,Iona, 0.45 , 0.48 , 0.44 , 0.49 , 0.44 , 0.53 , 0.22 , 0.22 , 0.21 , 0.24 , 0.22 , 0.17 , 0.31 , 0.34 , 0.27 , 0.21 , 0.33 , 0.23 , 0.72 , 0.67 , 0.77 , 0.89 , 0.68 , 0.75 ,,,
110,Iowa, 0.51 , 0.50 , 0.49 , 0.52 , 0.50 , 0.53 , 0.13 , 0.16 , 0.09 , 0.10 , 0.16 , 0.17 , 0.32 , 0.35 , 0.36 , 0.34 , 0.29 , 0.28 , 0.73 , 0.79 , 0.75 , 0.70 , 0.79 , 0.74 ,,,
61,Iowa State, 0.53 , 0.57 , 0.55 , 0.53 , 0.53 , 0.55 , 0.14 , 0.17 , 0.21 , 0.14 , 0.14 , 0.16 , 0.26 , 0.24 , 0.29 , 0.29 , 0.24 , 0.27 , 0.72 , 0.77 , 0.85 , 0.74 , 0.69 , 0.73 ,,,
58,IPFW, 0.53 , 0.53 , 0.41 , 0.59 , 0.49 , 0.56 , 0.21 , 0.20 , 0.15 , 0.23 , 0.19 , 0.17 , 0.25 , 0.27 , 0.21 , 0.33 , 0.20 , 0.22 , 0.67 , 0.64 , 1.00 , 0.63 , 0.71 , 0.70 ,,,
262,IUPUI, 0.46 , 0.39 , 0.34 , 0.44 , 0.47 , 0.50 , 0.21 , 0.17 , 0.22 , 0.10 , 0.22 , 0.19 , 0.27 , 0.25 , 0.37 , 0.20 , 0.27 , 0.32 , 0.57 , 0.51 , 0.58 , 0.54 , 0.58 , 0.70 ,,,
323,Jackson St, 0.43 , 0.41 , 0.41 , -- , 0.43 , 0.45 , 0.17 , 0.19 , 0.16 , -- , 0.17 , 0.20 , 0.23 , 0.15 , 0.14 , -- , 0.23 , 0.27 , 0.68 , 0.59 , 0.44 , -- , 0.68 , 0.64 ,,,
240,Jacksonville, 0.47 , 0.44 , 0.53 , 0.53 , 0.45 , 0.50 , 0.21 , 0.19 , 0.22 , 0.20 , 0.21 , 0.20 , 0.24 , 0.27 , 0.32 , 0.25 , 0.24 , 0.27 , 0.65 , 0.70 , 0.83 , 0.74 , 0.62 , 0.67 ,,,
174,James Mad, 0.49 , 0.54 , 0.51 , 0.54 , 0.45 , 0.50 , 0.18 , 0.17 , 0.17 , 0.17 , 0.20 , 0.18 , 0.21 , 0.23 , 0.25 , 0.19 , 0.22 , 0.28 , 0.63 , 0.68 , 0.46 , 0.68 , 0.56 , 0.72 ,,,
302,Jksnville St, 0.45 , 0.45 , 0.45 , -- , 0.45 , 0.51 , 0.22 , 0.20 , 0.25 , -- , 0.22 , 0.18 , 0.28 , 0.28 , 0.27 , -- , 0.28 , 0.31 , 0.62 , 0.46 , 0.33 , -- , 0.62 , 0.75 ,,,
12,Kansas, 0.57 , 0.56 , 0.59 , 0.59 , 0.54 , 0.53 , 0.20 , 0.20 , 0.29 , 0.18 , 0.22 , 0.18 , 0.28 , 0.26 , 0.32 , 0.29 , 0.27 , 0.29 , 0.67 , 0.66 , 0.63 , 0.69 , 0.65 , 0.71 ,,,
251,Kansas St, 0.47 , 0.47 , 0.38 , 0.48 , 0.44 , 0.49 , 0.20 , 0.21 , 0.14 , 0.18 , 0.23 , 0.17 , 0.29 , 0.34 , 0.33 , 0.28 , 0.30 , 0.27 , 0.63 , 0.65 , 0.60 , 0.64 , 0.59 , 0.67 ,,,
353,Kennesaw St, 0.37 , 0.41 , 0.47 , 0.47 , 0.36 , 0.41 , 0.25 , 0.26 , 0.22 , 0.22 , 0.26 , 0.19 , 0.32 , 0.42 , 0.49 , 0.49 , 0.29 , 0.26 , 0.66 , 0.65 , 0.64 , 0.64 , 0.67 , 0.69 ,,,
95,Kent State, 0.52 , 0.56 , 0.57 , 0.55 , 0.48 , 0.50 , 0.16 , 0.14 , 0.11 , 0.15 , 0.17 , 0.16 , 0.29 , 0.36 , 0.21 , 0.32 , 0.25 , 0.32 , 0.75 , 0.81 , 0.75 , 0.77 , 0.73 , 0.73 ,,,
105,Kentucky, 0.52 , 0.55 , 0.53 , 0.53 , 0.44 , 0.53 , 0.17 , 0.16 , 0.13 , 0.18 , 0.15 , 0.18 , 0.31 , 0.35 , 0.42 , 0.33 , 0.18 , 0.35 , 0.80 , 0.78 , 0.90 , 0.80 , 0.78 , 0.74 ,,,
