eFG_pct,Team_eFG_pct,2019_eFG_pct,Last_3_eFG_pct,Last_1_eFG_pct,Home_eFG_pct,Away_eFG_pct,2018_eFG_pct,2019_Turnover_rate,Last_3_Turnover_rate,Last_1_Turnover_rate,Home_Turnover_rate,Away_Turnover_rate,2018_Turnover_rate,2019_Offensive_Rebound_Rate,Last_3_Offensive_Rebound_Rate,Last_1_Offensive_Rebound_Rate,Home_Offensive_Rebound_Rate,Away_Offensive_Rebound_Rate,2018_Offensive_Rebound_Rate,2019_Free_Throw_Pct,Last_3_Free_Throw_Pct,Last_1_Free_Throw_Pct,Home_Free_Throw_Pct,Away_Free_Throw_Pct,2018_Free_Throw_Pct,,,
32,St Marys, 0.55 , 0.56 , 0.48 , 0.56 , 0.51 , 0.54 , 0.16 , 0.13 , 0.14 , 0.15 , 0.17 , 0.16 , 0.26 , 0.23 , 0.23 , 0.25 , 0.32 , 0.29 , 0.74 , 0.72 , 0.86 , 0.74 , 0.76 , 0.74 ,,,
350,St Peters, 0.39 , 0.44 , 0.44 , 0.38 , 0.40 , 0.49 , 0.23 , 0.23 , 0.24 , 0.20 , 0.29 , 0.23 , 0.33 , 0.40 , 0.44 , 0.30 , 0.39 , 0.28 , 0.67 , 0.67 , 0.42 , 0.73 , 0.58 , 0.73 ,,,
8,Stanford, 0.58 , 0.55 , 0.59 , 0.59 , 0.53 , 0.51 , 0.20 , 0.19 , 0.15 , 0.19 , 0.21 , 0.20 , 0.24 , 0.28 , 0.21 , 0.21 , 0.32 , 0.27 , 0.71 , 0.69 , 0.73 , 0.72 , 0.68 , 0.67 ,,,
112,Ste F Austin, 0.51 , 0.49 , 0.43 , 0.56 , 0.47 , 0.48 , 0.23 , 0.21 , 0.24 , 0.25 , 0.22 , 0.20 , 0.31 , 0.26 , 0.32 , 0.39 , 0.26 , 0.27 , 0.71 , 0.67 , 0.76 , 0.77 , 0.66 , 0.69 ,,,
215,Stetson, 0.48 , 0.48 , 0.61 , 0.50 , 0.48 , 0.46 , 0.23 , 0.24 , 0.30 , 0.17 , 0.25 , 0.17 , 0.28 , 0.28 , 0.26 , 0.28 , 0.28 , 0.26 , 0.69 , 0.73 , 0.58 , 0.72 , 0.67 , 0.68 ,,,
208,Stony Brook, 0.48 , 0.49 , 0.66 , 0.49 , 0.48 , 0.48 , 0.20 , 0.22 , 0.22 , 0.21 , 0.19 , 0.20 , 0.27 , 0.29 , 0.19 , 0.27 , 0.27 , 0.32 , 0.71 , 0.68 , 0.56 , 0.70 , 0.71 , 0.72 ,,,
102,Syracuse, 0.52 , 0.49 , 0.63 , 0.54 , 0.48 , 0.50 , 0.19 , 0.20 , 0.21 , 0.19 , 0.19 , 0.18 , 0.25 , 0.24 , 0.38 , 0.25 , 0.24 , 0.28 , 0.69 , 0.73 , 0.83 , 0.66 , 0.73 , 0.69 ,,,
299,Temple, 0.45 , 0.45 , 0.37 , 0.43 , 0.46 , 0.50 , 0.17 , 0.21 , 0.26 , 0.16 , 0.18 , 0.15 , 0.27 , 0.20 , 0.17 , 0.24 , 0.29 , 0.25 , 0.69 , 0.71 , 0.69 , 0.66 , 0.72 , 0.73 ,,,
131,Tennessee, 0.51 , 0.47 , 0.46 , 0.51 , 0.49 , 0.55 , 0.20 , 0.24 , 0.22 , 0.18 , 0.22 , 0.16 , 0.31 , 0.32 , 0.44 , 0.37 , 0.20 , 0.30 , 0.73 , 0.82 , 0.75 , 0.66 , 0.84 , 0.76 ,,,
99,Texas, 0.52 , 0.53 , 0.60 , 0.52 , 0.51 , 0.51 , 0.19 , 0.15 , 0.16 , 0.20 , 0.17 , 0.16 , 0.27 , 0.26 , 0.08 , 0.29 , 0.24 , 0.27 , 0.71 , 0.62 , 0.73 , 0.67 , 0.79 , 0.70 ,,,
339,Texas A&M, 0.42 , 0.38 , 0.55 , 0.44 , 0.38 , 0.49 , 0.21 , 0.21 , 0.20 , 0.21 , 0.21 , 0.20 , 0.23 , 0.19 , 0.16 , 0.25 , 0.19 , 0.31 , 0.68 , 0.72 , 0.83 , 0.66 , 0.72 , 0.69 ,,,
173,Texas State, 0.49 , 0.46 , 0.52 , 0.54 , 0.44 , 0.50 , 0.19 , 0.14 , 0.13 , 0.21 , 0.16 , 0.19 , 0.27 , 0.26 , 0.25 , 0.28 , 0.25 , 0.30 , 0.70 , 0.70 , 0.64 , 0.71 , 0.68 , 0.68 ,,,
93,Texas Tech, 0.52 , 0.44 , 0.45 , 0.55 , 0.49 , 0.54 , 0.19 , 0.19 , 0.30 , 0.17 , 0.21 , 0.17 , 0.29 , 0.26 , 0.29 , 0.29 , 0.30 , 0.26 , 0.76 , 0.80 , 0.80 , 0.77 , 0.75 , 0.73 ,,,
117,TN Martin, 0.51 , 0.51 , 0.57 , 0.46 , 0.52 , 0.50 , 0.15 , 0.12 , 0.15 , 0.20 , 0.14 , 0.19 , 0.28 , 0.24 , 0.23 , 0.35 , 0.26 , 0.31 , 0.75 , 0.76 , 0.80 , 0.72 , 0.75 , 0.75 ,,,
20,TN State, 0.56 , 0.57 , 0.53 , 0.65 , 0.50 , 0.49 , 0.24 , 0.24 , 0.20 , 0.23 , 0.25 , 0.22 , 0.28 , 0.36 , 0.33 , 0.35 , 0.24 , 0.27 , 0.67 , 0.71 , 0.74 , 0.62 , 0.71 , 0.70 ,,,
316,TN Tech, 0.44 , 0.41 , 0.44 , 0.48 , 0.41 , 0.46 , 0.26 , 0.24 , 0.20 , 0.18 , 0.30 , 0.22 , 0.27 , 0.34 , 0.33 , 0.27 , 0.28 , 0.26 , 0.67 , 0.71 , 0.50 , 0.63 , 0.70 , 0.63 ,,,
27,Toledo, 0.56 , 0.48 , 0.56 , 0.58 , 0.54 , 0.53 , 0.20 , 0.20 , 0.15 , 0.16 , 0.22 , 0.17 , 0.28 , 0.26 , 0.17 , 0.33 , 0.25 , 0.26 , 0.74 , 0.71 , 0.76 , 0.73 , 0.76 , 0.77 ,,,
300,Towson, 0.45 , 0.46 , 0.29 , 0.46 , 0.44 , 0.48 , 0.20 , 0.23 , 0.25 , 0.13 , 0.22 , 0.18 , 0.29 , 0.32 , 0.33 , 0.27 , 0.29 , 0.34 , 0.74 , 0.73 , 0.50 , 0.80 , 0.72 , 0.70 ,,,
327,Troy, 0.43 , 0.41 , 0.43 , 0.49 , 0.38 , 0.51 , 0.18 , 0.18 , 0.17 , 0.17 , 0.20 , 0.20 , 0.31 , 0.34 , 0.33 , 0.32 , 0.31 , 0.26 , 0.59 , 0.72 , 0.76 , 0.57 , 0.60 , 0.72 ,,,
57,Tulane, 0.53 , 0.54 , 0.50 , 0.54 , 0.52 , 0.47 , 0.19 , 0.22 , 0.27 , 0.17 , 0.21 , 0.20 , 0.23 , 0.20 , 0.17 , 0.26 , 0.19 , 0.24 , 0.74 , 0.71 , 0.76 , 0.68 , 0.84 , 0.69 ,,,
120,Tulsa, 0.51 , 0.55 , 0.59 , 0.54 , 0.42 , 0.51 , 0.20 , 0.24 , 0.22 , 0.20 , 0.19 , 0.18 , 0.30 , 0.35 , 0.35 , 0.29 , 0.31 , 0.21 , 0.73 , 0.79 , 0.73 , 0.73 , 0.74 , 0.70 ,,,
197,TX A&M-CC, 0.48 , 0.48 , 0.54 , 0.46 , 0.52 , 0.48 , 0.26 , 0.25 , 0.22 , 0.25 , 0.28 , 0.22 , 0.30 , 0.33 , 0.23 , 0.35 , 0.23 , 0.30 , 0.65 , 0.66 , 0.46 , 0.66 , 0.64 , 0.70 ,,,
136,TX Christian, 0.51 , 0.50 , 0.47 , 0.51 , 0.48 , 0.52 , 0.18 , 0.15 , 0.16 , 0.17 , 0.21 , 0.19 , 0.32 , 0.31 , 0.27 , 0.33 , 0.29 , 0.29 , 0.65 , 0.70 , 0.88 , 0.69 , 0.50 , 0.68 ,,,
206,TX El Paso, 0.48 , 0.48 , 0.48 , 0.49 , 0.46 , 0.46 , 0.21 , 0.22 , 0.21 , 0.20 , 0.23 , 0.22 , 0.15 , 0.14 , 0.19 , 0.17 , 0.08 , 0.24 , 0.82 , 0.84 , 0.77 , 0.79 , 0.93 , 0.67 ,,,
334,TX Southern, 0.42 , 0.45 , 0.44 , 0.52 , 0.41 , 0.51 , 0.23 , 0.23 , 0.23 , 0.24 , 0.23 , 0.19 , 0.25 , 0.21 , 0.18 , 0.21 , 0.25 , 0.31 , 0.67 , 0.65 , 0.65 , 0.70 , 0.66 , 0.67 ,,,
270,TX-Arlington, 0.46 , 0.52 , 0.47 , 0.48 , 0.45 , 0.47 , 0.17 , 0.19 , 0.19 , 0.17 , 0.16 , 0.20 , 0.22 , 0.24 , 0.27 , 0.28 , 0.19 , 0.29 , 0.73 , 0.68 , 0.65 , 0.76 , 0.71 , 0.74 ,,,
325,TX-Pan Am, 0.43 , 0.44 , 0.47 , 0.45 , 0.41 , 0.46 , 0.18 , 0.23 , 0.23 , 0.26 , 0.13 , 0.18 , 0.21 , 0.25 , 0.29 , 0.27 , 0.18 , 0.24 , 0.71 , 0.73 , 0.79 , 0.73 , 0.69 , 0.70 ,,,
295,TX-San Ant, 0.45 , 0.53 , 0.57 , 0.51 , 0.43 , 0.50 , 0.17 , 0.16 , 0.16 , 0.16 , 0.17 , 0.16 , 0.25 , 0.25 , 0.26 , 0.25 , 0.25 , 0.24 , 0.77 , 0.81 , 0.71 , 0.84 , 0.74 , 0.74 ,,,
141,U Mass, 0.50 , 0.44 , 0.35 , 0.59 , 0.41 , 0.51 , 0.19 , 0.24 , 0.22 , 0.16 , 0.21 , 0.20 , 0.26 , 0.29 , 0.36 , 0.27 , 0.24 , 0.30 , 0.66 , 0.68 , 0.74 , 0.65 , 0.68 , 0.68 ,,,
49,U Penn, 0.54 , 0.58 , 0.54 , 0.46 , 0.55 , 0.53 , 0.18 , 0.16 , 0.18 , 0.20 , 0.18 , 0.18 , 0.23 , 0.24 , 0.16 , 0.36 , 0.21 , 0.23 , 0.65 , 0.61 , 0.44 , 0.75 , 0.64 , 0.64 ,,,
289,UAB, 0.45 , 0.46 , 0.45 , 0.42 , 0.50 , 0.50 , 0.23 , 0.24 , 0.33 , 0.23 , 0.22 , 0.16 , 0.37 , 0.30 , 0.43 , 0.38 , 0.36 , 0.29 , 0.74 , 0.71 , 0.69 , 0.77 , 0.69 , 0.67 ,,,
126,UC Davis, 0.51 , 0.60 , 0.54 , 0.54 , 0.50 , 0.49 , 0.20 , 0.19 , 0.18 , 0.18 , 0.20 , 0.20 , 0.21 , 0.23 , 0.13 , 0.13 , 0.22 , 0.20 , 0.77 , 0.85 , 0.82 , 0.82 , 0.76 , 0.71 ,,,
145,UC Irvine, 0.50 , 0.55 , 0.38 , 0.49 , 0.50 , 0.51 , 0.21 , 0.17 , 0.07 , 0.16 , 0.23 , 0.17 , 0.29 , 0.23 , 0.21 , 0.21 , 0.32 , 0.32 , 0.73 , 0.60 , 0.55 , 0.53 , 0.78 , 0.71 ,,,
177,UC Riverside, 0.49 , 0.53 , 0.48 , 0.53 , 0.45 , 0.51 , 0.20 , 0.16 , 0.15 , 0.17 , 0.22 , 0.20 , 0.23 , 0.19 , 0.16 , 0.22 , 0.24 , 0.24 , 0.73 , 0.67 , 0.71 , 0.69 , 0.77 , 0.68 ,,,
156,UCLA, 0.50 , 0.49 , 0.55 , 0.51 , 0.46 , 0.52 , 0.19 , 0.18 , 0.18 , 0.19 , 0.19 , 0.19 , 0.35 , 0.34 , 0.30 , 0.35 , 0.36 , 0.30 , 0.71 , 0.71 , 0.78 , 0.72 , 0.67 , 0.63 ,,,
81,UCSB, 0.52 , 0.47 , 0.50 , 0.57 , 0.47 , 0.50 , 0.18 , 0.16 , 0.16 , 0.17 , 0.19 , 0.17 , 0.28 , 0.25 , 0.18 , 0.31 , 0.25 , 0.31 , 0.74 , 0.73 , 0.79 , 0.72 , 0.76 , 0.72 ,,,
254,UMKC, 0.47 , 0.48 , 0.49 , 0.47 , 0.47 , 0.50 , 0.20 , 0.23 , 0.23 , 0.24 , 0.20 , 0.17 , 0.19 , 0.19 , 0.10 , 0.34 , 0.16 , 0.21 , 0.69 , 0.73 , 0.70 , 0.77 , 0.67 , 0.70 ,,,
184,UNLV, 0.49 , 0.43 , 0.41 , 0.52 , 0.45 , 0.50 , 0.22 , 0.19 , 0.18 , 0.24 , 0.20 , 0.18 , 0.33 , 0.28 , 0.24 , 0.38 , 0.29 , 0.34 , 0.69 , 0.67 , 0.38 , 0.71 , 0.67 , 0.69 ,,,
148,USC, 0.50 , 0.52 , 0.58 , 0.50 , 0.50 , 0.53 , 0.19 , 0.20 , 0.20 , 0.20 , 0.19 , 0.16 , 0.31 , 0.28 , 0.28 , 0.34 , 0.27 , 0.25 , 0.66 , 0.67 , 0.58 , 0.68 , 0.64 , 0.65 ,,,
4,Utah, 0.59 , 0.62 , 0.59 , 0.65 , 0.49 , 0.55 , 0.18 , 0.14 , 0.10 , 0.15 , 0.21 , 0.19 , 0.26 , 0.20 , 0.26 , 0.23 , 0.29 , 0.28 , 0.75 , 0.78 , 0.77 , 0.77 , 0.72 , 0.71 ,,,
118,Utah State, 0.51 , 0.45 , 0.38 , 0.52 , 0.49 , 0.54 , 0.16 , 0.12 , 0.13 , 0.16 , 0.15 , 0.18 , 0.29 , 0.24 , 0.26 , 0.34 , 0.23 , 0.30 , 0.77 , 0.79 , 0.91 , 0.78 , 0.76 , 0.75 ,,,
189,Utah Val St, 0.49 , 0.50 , 0.55 , 0.47 , 0.49 , 0.56 , 0.19 , 0.23 , 0.21 , 0.21 , 0.19 , 0.20 , 0.21 , 0.21 , 0.13 , 0.26 , 0.19 , 0.26 , 0.76 , 0.77 , 0.71 , 0.78 , 0.75 , 0.73 ,,,
162,VA Military, 0.49 , 0.55 , 0.71 , 0.57 , 0.46 , 0.50 , 0.16 , 0.19 , 0.19 , 0.17 , 0.16 , 0.16 , 0.24 , 0.25 , 0.38 , 0.24 , 0.23 , 0.20 , 0.74 , 0.79 , 0.71 , 0.67 , 0.76 , 0.72 ,,,
7,VA Tech, 0.58 , 0.56 , 0.53 , 0.61 , 0.54 , 0.56 , 0.16 , 0.16 , 0.21 , 0.17 , 0.15 , 0.17 , 0.21 , 0.16 , 0.23 , 0.25 , 0.16 , 0.27 , 0.66 , 0.58 , 0.67 , 0.70 , 0.64 , 0.76 ,,,
159,Valparaiso, 0.50 , 0.48 , 0.56 , 0.49 , 0.50 , 0.49 , 0.19 , 0.21 , 0.19 , 0.17 , 0.20 , 0.20 , 0.30 , 0.27 , 0.27 , 0.36 , 0.27 , 0.24 , 0.70 , 0.71 , 0.63 , 0.63 , 0.71 , 0.70 ,,,
10,Vanderbilt, 0.57 , 0.48 , 0.49 , 0.56 , 0.61 , 0.49 , 0.18 , 0.19 , 0.15 , 0.17 , 0.23 , 0.20 , 0.30 , 0.29 , 0.26 , 0.31 , 0.26 , 0.27 , 0.66 , 0.73 , 0.85 , 0.66 , 0.69 , 0.67 ,,,
113,VCU, 0.51 , 0.48 , 0.52 , 0.52 , 0.46 , 0.50 , 0.19 , 0.19 , 0.18 , 0.19 , 0.19 , 0.19 , 0.25 , 0.15 , 0.04 , 0.26 , 0.21 , 0.30 , 0.73 , 0.76 , 0.82 , 0.73 , 0.73 , 0.70 ,,,
273,Vermont, 0.46 , 0.45 , 0.42 , 0.45 , 0.46 , 0.53 , 0.18 , 0.20 , 0.25 , 0.22 , 0.17 , 0.17 , 0.24 , 0.28 , 0.36 , 0.28 , 0.23 , 0.26 , 0.69 , 0.73 , 0.71 , 0.67 , 0.70 , 0.75 ,,,
15,Villanova, 0.57 , 0.54 , 0.53 , 0.55 , 0.58 , 0.53 , 0.17 , 0.18 , 0.12 , 0.17 , 0.17 , 0.16 , 0.30 , 0.34 , 0.39 , 0.31 , 0.29 , 0.30 , 0.76 , 0.81 , 0.91 , 0.78 , 0.74 , 0.73 ,,,
297,Virginia, 0.45 , 0.43 , 0.42 , 0.46 , 0.43 , 0.55 , 0.20 , 0.24 , 0.28 , 0.17 , 0.24 , 0.14 , 0.26 , 0.19 , 0.16 , 0.26 , 0.27 , 0.29 , 0.69 , 0.77 , 0.50 , 0.63 , 0.77 , 0.74 ,,,
46,W Carolina, 0.54 , 0.57 , 0.59 , 0.59 , 0.49 , 0.54 , 0.20 , 0.20 , 0.27 , 0.24 , 0.15 , 0.25 , 0.28 , 0.28 , 0.28 , 0.33 , 0.25 , 0.27 , 0.68 , 0.74 , 0.64 , 0.67 , 0.69 , 0.67 ,,,
138,W Illinois, 0.50 , 0.51 , 0.60 , 0.53 , 0.48 , 0.50 , 0.14 , 0.19 , 0.21 , 0.08 , 0.18 , 0.16 , 0.20 , 0.20 , 0.21 , 0.20 , 0.21 , 0.20 , 0.88 , 0.91 , 0.79 , 0.84 , 0.91 , 0.72 ,,,
37,W Kentucky, 0.54 , 0.48 , 0.50 , 0.58 , 0.53 , 0.50 , 0.21 , 0.18 , 0.18 , 0.21 , 0.21 , 0.19 , 0.27 , 0.21 , 0.26 , 0.35 , 0.24 , 0.28 , 0.77 , 0.74 , 0.68 , 0.77 , 0.76 , 0.72 ,,,
292,W Michigan, 0.45 , 0.43 , 0.49 , 0.47 , 0.43 , 0.48 , 0.16 , 0.13 , 0.13 , 0.11 , 0.19 , 0.21 , 0.24 , 0.28 , 0.27 , 0.29 , 0.20 , 0.28 , 0.74 , 0.69 , 0.65 , 0.71 , 0.76 , 0.69 ,,,
243,W Virginia, 0.47 , 0.47 , 0.47 , 0.49 , 0.45 , 0.48 , 0.19 , 0.20 , 0.26 , 0.18 , 0.21 , 0.21 , 0.36 , 0.37 , 0.32 , 0.34 , 0.37 , 0.35 , 0.68 , 0.64 , 0.42 , 0.73 , 0.62 , 0.69 ,,,
301,Wagner, 0.45 , 0.45 , 0.39 , 0.55 , 0.42 , 0.44 , 0.20 , 0.21 , 0.27 , 0.15 , 0.21 , 0.20 , 0.26 , 0.28 , 0.31 , 0.20 , 0.26 , 0.33 , 0.73 , 0.77 , 0.73 , 0.74 , 0.72 , 0.75 ,,,
244,Wake Forest, 0.47 , 0.42 , 0.60 , 0.55 , 0.44 , 0.45 , 0.20 , 0.22 , 0.24 , 0.21 , 0.19 , 0.19 , 0.29 , 0.22 , 0.19 , 0.24 , 0.30 , 0.32 , 0.76 , 0.77 , 0.69 , 0.68 , 0.81 , 0.73 ,,,
307,Wash State, 0.44 , 0.47 , 0.44 , 0.46 , 0.44 , 0.53 , 0.13 , 0.16 , 0.19 , 0.07 , 0.16 , 0.19 , 0.26 , 0.21 , 0.21 , 0.30 , 0.24 , 0.24 , 0.73 , 0.73 , 0.81 , 0.77 , 0.71 , 0.76 ,,,
132,Washington, 0.51 , 0.56 , 0.53 , 0.52 , 0.48 , 0.52 , 0.20 , 0.16 , 0.18 , 0.18 , 0.24 , 0.19 , 0.28 , 0.29 , 0.32 , 0.29 , 0.25 , 0.26 , 0.71 , 0.76 , 0.81 , 0.73 , 0.63 , 0.70 ,,,
268,Weber State, 0.46 , 0.55 , 0.53 , 0.41 , 0.47 , 0.53 , 0.22 , 0.21 , 0.25 , 0.20 , 0.22 , 0.16 , 0.24 , 0.22 , 0.27 , 0.28 , 0.23 , 0.18 , 0.63 , 0.68 , 0.71 , 0.50 , 0.64 , 0.74 ,,,
213,Wichita St, 0.48 , 0.46 , 0.55 , 0.50 , 0.41 , 0.47 , 0.15 , 0.18 , 0.18 , 0.14 , 0.17 , 0.17 , 0.32 , 0.29 , 0.28 , 0.33 , 0.29 , 0.31 , 0.72 , 0.73 , 0.78 , 0.73 , 0.71 , 0.73 ,,,
97,WI-Grn Bay, 0.52 , 0.55 , 0.50 , 0.56 , 0.50 , 0.52 , 0.16 , 0.14 , 0.20 , 0.15 , 0.16 , 0.17 , 0.20 , 0.25 , 0.24 , 0.19 , 0.21 , 0.25 , 0.72 , 0.73 , 0.91 , 0.76 , 0.70 , 0.70 ,,,
284,WI-Milwkee, 0.45 , 0.44 , 0.42 , 0.49 , 0.43 , 0.48 , 0.19 , 0.22 , 0.27 , 0.20 , 0.19 , 0.18 , 0.30 , 0.27 , 0.31 , 0.35 , 0.26 , 0.24 , 0.64 , 0.65 , 0.67 , 0.63 , 0.64 , 0.74 ,,,
158,Winthrop, 0.50 , 0.50 , 0.57 , 0.50 , 0.49 , 0.54 , 0.20 , 0.20 , 0.19 , 0.22 , 0.19 , 0.20 , 0.30 , 0.30 , 0.35 , 0.30 , 0.30 , 0.28 , 0.53 , 0.61 , 0.61 , 0.66 , 0.44 , 0.72 ,,,
146,Wisconsin, 0.50 , 0.46 , 0.61 , 0.56 , 0.42 , 0.51 , 0.17 , 0.14 , 0.06 , 0.15 , 0.20 , 0.14 , 0.29 , 0.33 , 0.25 , 0.29 , 0.28 , 0.23 , 0.79 , 0.71 , 0.89 , 0.87 , 0.68 , 0.65 ,,,
26,Wm & Mary, 0.56 , 0.58 , 0.44 , 0.60 , 0.54 , 0.54 , 0.18 , 0.19 , 0.20 , 0.18 , 0.17 , 0.18 , 0.17 , 0.15 , 0.21 , 0.20 , 0.16 , 0.23 , 0.72 , 0.78 , 0.80 , 0.72 , 0.72 , 0.67 ,,,
40,Wofford, 0.54 , 0.59 , 0.60 , 0.59 , 0.49 , 0.58 , 0.17 , 0.20 , 0.17 , 0.12 , 0.21 , 0.16 , 0.25 , 0.27 , 0.30 , 0.26 , 0.24 , 0.31 , 0.79 , 0.76 , 0.88 , 0.86 , 0.71 , 0.71 ,,,
180,Wright State, 0.49 , 0.48 , 0.49 , 0.49 , 0.49 , 0.51 , 0.15 , 0.14 , 0.15 , 0.16 , 0.15 , 0.17 , 0.29 , 0.24 , 0.22 , 0.24 , 0.32 , 0.28 , 0.66 , 0.65 , 0.69 , 0.68 , 0.66 , 0.74 ,,,
235,Wyoming, 0.47 , 0.50 , 0.45 , 0.52 , 0.36 , 0.49 , 0.20 , 0.18 , 0.17 , 0.19 , 0.25 , 0.19 , 0.10 , 0.13 , 0.15 , 0.11 , 0.09 , 0.13 , 0.70 , 0.64 , 0.58 , 0.73 , 0.62 , 0.72 ,,,
200,Xavier, 0.48 , 0.51 , 0.52 , 0.48 , 0.49 , 0.53 , 0.19 , 0.16 , 0.15 , 0.17 , 0.23 , 0.19 , 0.32 , 0.37 , 0.18 , 0.32 , 0.32 , 0.30 , 0.67 , 0.66 , 0.73 , 0.66 , 0.69 , 0.68 ,,,
60,Yale, 0.53 , 0.54 , 0.57 , 0.55 , 0.52 , 0.56 , 0.19 , 0.19 , 0.16 , 0.18 , 0.19 , 0.18 , 0.21 , 0.21 , 0.25 , 0.16 , 0.22 , 0.25 , 0.68 , 0.75 , 0.68 , 0.73 , 0.66 , 0.74 ,,,
321,Youngs St, 0.43 , 0.51 , 0.52 , 0.48 , 0.42 , 0.50 , 0.17 , 0.16 , 0.16 , 0.16 , 0.17 , 0.18 , 0.31 , 0.30 , 0.27 , 0.36 , 0.30 , 0.32 , 0.67 , 0.66 , 0.58 , 0.79 , 0.63 , 0.70 ,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
